Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences
group_14207,,hypothetical protein,1,1
group_14208,,hypothetical protein,1,1
group_14209,,hypothetical protein,1,1
group_14210,,hypothetical protein,1,1
group_14211,,hypothetical protein,1,1
group_14212,rusA_1,Crossover junction endodeoxyribonuclease RusA,1,1
group_14213,,hypothetical protein,1,1
group_14214,,hypothetical protein,1,1
group_14215,,hypothetical protein,1,1
group_14216,,hypothetical protein,1,1
group_14217,,hypothetical protein,1,1
group_14218,,hypothetical protein,1,1
group_14219,,hypothetical protein,1,1
group_14220,,hypothetical protein,1,1
group_14221,,hypothetical protein,1,1
group_14222,,hypothetical protein,1,1
group_14223,,hypothetical protein,1,1
group_14224,,hypothetical protein,1,1
group_14225,,hypothetical protein,1,1
group_14226,,hypothetical protein,1,1
group_14227,,hypothetical protein,1,1
group_14228,,hypothetical protein,1,1
group_14229,,hypothetical protein,1,1
group_1423,,hypothetical protein,1,1
group_14230,,hypothetical protein,1,1
group_14231,ssb_1,Single-stranded DNA-binding protein,1,1
group_14232,,hypothetical protein,1,1
group_14233,,hypothetical protein,1,1
group_14234,,hypothetical protein,1,1
group_14235,,hypothetical protein,1,1
group_14236,,hypothetical protein,1,1
group_14237,,hypothetical protein,1,1
group_14238,,hypothetical protein,1,1
group_14239,,hypothetical protein,1,1
group_1424,,hypothetical protein,1,1
group_14240,,hypothetical protein,1,1
group_14241,dnaB_2,Replicative DNA helicase,1,1
group_14242,,hypothetical protein,1,1
group_14243,,hypothetical protein,1,1
group_14244,,hypothetical protein,1,1
group_14245,,hypothetical protein,1,1
group_14246,,hypothetical protein,1,1
group_14247,,hypothetical protein,1,1
group_14248,,hypothetical protein,1,1
group_14249,intA_4,Prophage integrase IntA,1,1
group_14250,,hypothetical protein,1,1
group_14251,,hypothetical protein,1,1
group_14252,,hypothetical protein,1,1
group_14253,,hypothetical protein,1,1
group_14254,,hypothetical protein,1,1
group_14255,,hypothetical protein,1,1
group_14256,,hypothetical protein,1,1
group_14257,,hypothetical protein,1,1
group_14258,,hypothetical protein,1,1
group_14259,,hypothetical protein,1,1
group_14260,traJ,Protein TraJ,1,1
ybaQ_2,,putative HTH-type transcriptional regulator YbaQ,1,1
ydiO_2,,putative BsuMI modification methylase subunit YdiO,1,1
group_14263,,hypothetical protein,1,1
group_14264,,hypothetical protein,1,1
group_14265,,hypothetical protein,1,1
group_14266,,hypothetical protein,1,1
cfaB,,CFA/I fimbrial subunit B,1,1
group_14268,,hypothetical protein,1,1
group_14269,,hypothetical protein,1,1
group_14270,cfaE,CFA/I fimbrial subunit E,1,1
group_14271,,hypothetical protein,1,1
group_14272,,hypothetical protein,1,1
group_14273,,hypothetical protein,1,1
group_14274,rbsK_1,Ribokinase,1,1
group_14275,,hypothetical protein,1,1
group_14276,,hypothetical protein,1,1
dasR,,HTH-type transcriptional repressor DasR,1,1
yicJ_1,,Inner membrane symporter YicJ,1,1
group_14279,,hypothetical protein,1,1
group_1428,,IS4 family transposase ISEc13,1,1
group_14280,,hypothetical protein,1,1
group_14281,,hypothetical protein,1,1
group_14282,,hypothetical protein,1,1
group_14283,,hypothetical protein,1,1
group_14284,,hypothetical protein,1,1
group_14285,,hypothetical protein,1,1
group_14286,,hypothetical protein,1,1
group_14287,,hypothetical protein,1,1
group_14288,,hypothetical protein,1,1
group_14289,,hypothetical protein,1,1
group_1429,,hypothetical protein,1,1
group_14290,,hypothetical protein,1,1
group_14292,,hypothetical protein,1,1
elaD,,Protease ElaD,1,1
group_14294,,hypothetical protein,1,1
nupX,,Putative nucleoside permease NupX,1,1
group_14296,,hypothetical protein,1,1
group_14297,,hypothetical protein,1,1
group_14298,,hypothetical protein,1,1
haeIIIM,,Modification methylase HaeIII,1,1
group_143,vgrG1_2,Actin cross-linking toxin VgrG1,1,1
group_14300,,hypothetical protein,1,1
group_14301,fhuD,Iron(3+)-hydroxamate-binding protein FhuD,1,1
group_14302,yadM,putative fimbrial-like protein YadM,1,1
group_14303,,ISNCY family transposase ISRor2,1,1
group_14304,,hypothetical protein,1,1
group_14305,mutT,8-oxo-dGTP diphosphatase,1,1
group_14306,sgrR_2,HTH-type transcriptional regulator SgrR,1,1
group_14307,yabI,Inner membrane protein YabI,1,1
group_14308,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,1,1
group_14309,,hypothetical protein,1,1
group_14310,caiC,Crotonobetaine/carnitine--CoA ligase,1,1
group_14311,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,1,1
group_14313,iraD,Anti-adapter protein IraD,1,1
group_14314,,hypothetical protein,1,1
group_14315,upaG,Autotransporter adhesin UpaG,1,1
group_14316,,hypothetical protein,1,1
group_14317,,hypothetical protein,1,1
group_14318,fadL,Long-chain fatty acid transport protein,1,1
group_14319,yfcP,putative fimbrial-like protein YfcP,1,1
group_14320,,hypothetical protein,1,1
group_14321,,hypothetical protein,1,1
group_14322,,hypothetical protein,1,1
group_14323,,hypothetical protein,1,1
group_14324,ydiF_2,Acetate CoA-transferase YdiF,1,1
group_14325,,hypothetical protein,1,1
group_14326,,hypothetical protein,1,1
yphB_1,,putative protein YphB,1,1
abaF_2,,Fosfomycin resistance protein AbaF,1,1
group_14329,ygcS_2,Inner membrane metabolite transport protein YgcS,1,1
yjmD,,putative zinc-type alcohol dehydrogenase-like protein YjmD,1,1
group_14331,yihT,Sulfofructosephosphate aldolase,1,1
group_14332,yihU,3-sulfolactaldehyde reductase,1,1
group_14333,yihV,Sulfofructose kinase,1,1
group_14334,csqR,HTH-type transcriptional repressor CsqR,1,1
group_14335,yihN,Inner membrane protein YihN,1,1
group_14336,,hypothetical protein,1,1
phnR,,Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons,1,1
higA_2,,Antitoxin HigA,1,1
group_14339,,hypothetical protein,1,1
group_1434,,hypothetical protein,1,1
group_14340,,hypothetical protein,1,1
group_14341,,hypothetical protein,1,1
group_14342,,hypothetical protein,1,1
group_14343,,hypothetical protein,1,1
group_14344,,hypothetical protein,1,1
group_14345,,hypothetical protein,1,1
group_14346,,hypothetical protein,1,1
scrK_2,,Fructokinase,1,1
scrY,,Sucrose porin,1,1
sacX,,Negative regulator of SacY activity,1,1
scrB,,Sucrose-6-phosphate hydrolase,1,1
group_14351,cra_2,Catabolite repressor/activator,1,1
group_14352,,hypothetical protein,1,1
group_14354,,hypothetical protein,1,1
group_14355,nadR_2,Trifunctional NAD biosynthesis/regulator protein NadR,1,1
pnuC_2,,Nicotinamide riboside transporter PnuC,1,1
group_14357,alr,"Alanine racemase, biosynthetic",1,1
group_14358,,hypothetical protein,1,1
group_14359,,hypothetical protein,1,1
group_14360,,hypothetical protein,1,1
group_14361,,hypothetical protein,1,1
group_14362,,hypothetical protein,1,1
group_14363,intA_3,Prophage integrase IntA,1,1
group_14364,,hypothetical protein,1,1
group_14365,,hypothetical protein,1,1
group_14366,thiB,Thiamine-binding periplasmic protein,1,1
group_14367,,hypothetical protein,1,1
group_14368,,hypothetical protein,1,1
group_14370,,hypothetical protein,1,1
group_14371,,hypothetical protein,1,1
group_14372,,hypothetical protein,1,1
group_14373,mbeA,DNA relaxase MbeA,1,1
group_14374,,hypothetical protein,1,1
cim,,Cloacin immunity protein,1,1
ceaC,,Colicin-E3,1,1
group_14377,,hypothetical protein,1,1
group_14378,,hypothetical protein,1,1
group_14379,rop,Regulatory protein rop,1,1
group_1438,,hypothetical protein,1,1
group_14380,,hypothetical protein,1,1
group_14381,,hypothetical protein,1,1
group_14382,,hypothetical protein,1,1
group_14383,,hypothetical protein,1,1
group_14388,,hypothetical protein,1,1
group_14389,,hypothetical protein,1,1
group_1439,,hypothetical protein,1,1
group_14390,,hypothetical protein,1,1
group_14391,,hypothetical protein,1,1
group_14392,,hypothetical protein,1,1
group_14393,,hypothetical protein,1,1
group_14394,,hypothetical protein,1,1
group_14395,,hypothetical protein,1,1
group_14396,,hypothetical protein,1,1
group_14397,,hypothetical protein,1,1
group_14398,,hypothetical protein,1,1
group_14399,,hypothetical protein,1,1
group_1440,,hypothetical protein,1,1
group_14400,,hypothetical protein,1,1
group_14401,,hypothetical protein,1,1
group_14402,,hypothetical protein,1,1
group_14403,,hypothetical protein,1,1
group_14404,,hypothetical protein,1,1
group_14405,,hypothetical protein,1,1
group_14406,,hypothetical protein,1,1
group_14407,,hypothetical protein,1,1
group_14408,,hypothetical protein,1,1
group_14409,,hypothetical protein,1,1
group_14410,,hypothetical protein,1,1
group_14411,,hypothetical protein,1,1
group_14412,,hypothetical protein,1,1
pgpB_2,,Phosphatidylglycerophosphatase B,1,1
group_14414,,hypothetical protein,1,1
group_1443,,hypothetical protein,1,1
group_1445,,hypothetical protein,1,1
group_14455,,hypothetical protein,1,1
group_14456,,hypothetical protein,1,1
group_1446,,hypothetical protein,1,1
group_145,vgrG1_2,Actin cross-linking toxin VgrG1,1,1
group_14503,,hypothetical protein,1,1
group_1451,,hypothetical protein,1,1
group_14526,rob_2,Right origin-binding protein,1,1
group_14527,rob_3,Right origin-binding protein,1,1
group_14534,,hypothetical protein,1,1
group_14535,,hypothetical protein,1,1
group_14536,,hypothetical protein,1,1
group_14537,,hypothetical protein,1,1
group_14539,,hypothetical protein,1,1
group_14540,xerC_6,Tyrosine recombinase XerC,1,1
xerC_7,,Tyrosine recombinase XerC,1,1
group_14542,xerD_2,Tyrosine recombinase XerD,1,1
group_14581,,hypothetical protein,1,1
group_14582,,hypothetical protein,1,1
ydaG,,putative protein YdaG,1,1
group_14599,,hypothetical protein,1,1
group_14600,,hypothetical protein,1,1
group_14601,,hypothetical protein,1,1
group_14602,,hypothetical protein,1,1
group_14605,,hypothetical protein,1,1
group_14606,,hypothetical protein,1,1
intQ_3,,Putative defective protein IntQ,1,1
group_14608,,hypothetical protein,1,1
group_14609,,hypothetical protein,1,1
group_1461,,hypothetical protein,1,1
group_14629,,hypothetical protein,1,1
group_1463,,hypothetical protein,1,1
ppaC,,Manganese-dependent inorganic pyrophosphatase,1,1
tnpR_1,,Transposon gamma-delta resolvase,1,1
group_14632,,Tn3 family transposase ISEc63,1,1
group_14633,,Tn3 family transposase ISEc63,1,1
group_14634,xerC_3,Tyrosine recombinase XerC,1,1
group_14635,,hypothetical protein,1,1
group_14636,,hypothetical protein,1,1
group_14637,,hypothetical protein,1,1
group_14638,,hypothetical protein,1,1
group_14639,,IS110 family transposase ISKpn42,1,1
group_1464,,hypothetical protein,1,1
group_14640,,hypothetical protein,1,1
group_14641,,hypothetical protein,1,1
group_14642,,hypothetical protein,1,1
group_14643,,hypothetical protein,1,1
parM_3,,Plasmid segregation protein ParM,1,1
group_14645,,hypothetical protein,1,1
traD_1,,Coupling protein TraD,1,1
group_14647,,hypothetical protein,1,1
group_14648,,hypothetical protein,1,1
group_14649,,hypothetical protein,1,1
add_1,,Adenosine deaminase,1,1
group_14651,,hypothetical protein,1,1
group_14652,,hypothetical protein,1,1
group_14653,,hypothetical protein,1,1
group_14654,,hypothetical protein,1,1
group_14655,,hypothetical protein,1,1
group_14656,,hypothetical protein,1,1
group_14657,,hypothetical protein,1,1
group_14658,,hypothetical protein,1,1
group_14659,,hypothetical protein,1,1
group_1466,,hypothetical protein,1,1
group_14660,,hypothetical protein,1,1
group_14661,,hypothetical protein,1,1
group_14662,,hypothetical protein,1,1
group_14663,,hypothetical protein,1,1
group_14664,,hypothetical protein,1,1
group_14665,rrrD_3,Lysozyme RrrD,1,1
group_14666,,hypothetical protein,1,1
group_14667,,hypothetical protein,1,1
group_14668,intA_4,Prophage integrase IntA,1,1
group_14669,,hypothetical protein,1,1
ydiV_3,,Anti-FlhC(2)FlhD(4) factor YdiV,1,1
group_14670,,hypothetical protein,1,1
group_14671,,hypothetical protein,1,1
group_14672,repA,Regulatory protein RepA,1,1
group_14673,,hypothetical protein,1,1
group_14674,traJ,Protein TraJ,1,1
group_14675,,hypothetical protein,1,1
group_14676,,hypothetical protein,1,1
group_14677,,hypothetical protein,1,1
group_14678,,hypothetical protein,1,1
group_14679,,hypothetical protein,1,1
group_14680,,hypothetical protein,1,1
group_14681,,hypothetical protein,1,1
group_14682,,hypothetical protein,1,1
group_14683,,hypothetical protein,1,1
group_14684,,hypothetical protein,1,1
group_14685,yjaB,Peptidyl-lysine N-acetyltransferase YjaB,1,1
group_14687,,hypothetical protein,1,1
group_14688,,hypothetical protein,1,1
group_14689,,hypothetical protein,1,1
group_14690,,hypothetical protein,1,1
group_14691,,hypothetical protein,1,1
group_14692,,hypothetical protein,1,1
group_14693,,hypothetical protein,1,1
group_14694,,hypothetical protein,1,1
group_14695,dnaE_2,DNA polymerase III subunit alpha,1,1
cspB_2,,Cold shock-like protein CspB,1,1
group_14697,,hypothetical protein,1,1
group_14698,,hypothetical protein,1,1
group_14699,,hypothetical protein,1,1
group_147,,hypothetical protein,1,1
group_14700,,hypothetical protein,1,1
group_14701,,hypothetical protein,1,1
group_14702,,hypothetical protein,1,1
group_14704,,hypothetical protein,1,1
group_14705,,hypothetical protein,1,1
group_14706,,hypothetical protein,1,1
group_14707,,hypothetical protein,1,1
group_14708,,hypothetical protein,1,1
group_14709,,hypothetical protein,1,1
group_1471,ydiV_3,Anti-FlhC(2)FlhD(4) factor YdiV,1,1
group_14711,,hypothetical protein,1,1
group_14712,,hypothetical protein,1,1
group_14715,tfaE_1,Prophage tail fiber assembly protein TfaE,1,1
group_14716,,hypothetical protein,1,1
group_14717,arcA_2,Aerobic respiration control protein ArcA,1,1
group_14718,,IS110 family transposase IS1663,1,1
group_14723,topB_2,DNA topoisomerase 3,1,1
group_14724,,hypothetical protein,1,1
group_14725,,hypothetical protein,1,1
group_14726,,hypothetical protein,1,1
group_14727,,hypothetical protein,1,1
group_14728,dnaJ_2,Chaperone protein DnaJ,1,1
group_14729,,Tn3 family transposase ISPsy42,1,1
group_14730,hin_2,DNA-invertase hin,1,1
group_14731,,hypothetical protein,1,1
group_14732,,hypothetical protein,1,1
group_14733,,hypothetical protein,1,1
group_14734,,hypothetical protein,1,1
group_14735,,hypothetical protein,1,1
group_14736,,hypothetical protein,1,1
group_14737,,hypothetical protein,1,1
group_14738,,hypothetical protein,1,1
group_14739,,hypothetical protein,1,1
group_14740,,hypothetical protein,1,1
group_14741,,hypothetical protein,1,1
group_14742,,hypothetical protein,1,1
rdmC,,Aclacinomycin methylesterase RdmC,1,1
group_14744,,hypothetical protein,1,1
group_14745,,hypothetical protein,1,1
group_14746,,hypothetical protein,1,1
group_14747,,hypothetical protein,1,1
group_14748,lspA,Lipoprotein signal peptidase,1,1
group_14749,,hypothetical protein,1,1
group_14757,,hypothetical protein,1,1
group_14758,,hypothetical protein,1,1
group_14759,,hypothetical protein,1,1
group_14760,,hypothetical protein,1,1
group_14761,,hypothetical protein,1,1
group_14762,,hypothetical protein,1,1
group_14763,,hypothetical protein,1,1
group_14764,,hypothetical protein,1,1
group_14765,,hypothetical protein,1,1
group_14766,,hypothetical protein,1,1
group_14767,,hypothetical protein,1,1
group_14768,,hypothetical protein,1,1
group_14769,,hypothetical protein,1,1
group_1477,,hypothetical protein,1,1
group_14770,,hypothetical protein,1,1
group_14771,,hypothetical protein,1,1
group_14772,,hypothetical protein,1,1
group_14773,,hypothetical protein,1,1
group_14774,yedP,Mannosyl-3-phosphoglycerate phosphatase,1,1
group_14775,,hypothetical protein,1,1
group_14776,,hypothetical protein,1,1
group_14777,,hypothetical protein,1,1
group_14778,,hypothetical protein,1,1
group_14779,,hypothetical protein,1,1
group_14780,,hypothetical protein,1,1
group_14781,,hypothetical protein,1,1
group_14782,,hypothetical protein,1,1
group_14783,,hypothetical protein,1,1
group_14784,,hypothetical protein,1,1
group_14785,tfaE_2,Prophage tail fiber assembly protein TfaE,1,1
group_14786,,hypothetical protein,1,1
group_14787,,hypothetical protein,1,1
group_14788,,hypothetical protein,1,1
group_14789,,hypothetical protein,1,1
group_14790,,hypothetical protein,1,1
group_14791,,hypothetical protein,1,1
group_14792,,hypothetical protein,1,1
group_14793,,hypothetical protein,1,1
group_14794,,hypothetical protein,1,1
group_14795,,hypothetical protein,1,1
group_14796,,hypothetical protein,1,1
group_14797,,hypothetical protein,1,1
group_14798,dpnA,Modification methylase DpnIIB,1,1
group_14799,,hypothetical protein,1,1
group_148,vgrG1_2,Actin cross-linking toxin VgrG1,1,1
group_14800,,hypothetical protein,1,1
group_14801,,hypothetical protein,1,1
group_14802,,hypothetical protein,1,1
group_14803,,hypothetical protein,1,1
group_14804,,hypothetical protein,1,1
group_14805,,hypothetical protein,1,1
group_14806,,hypothetical protein,1,1
group_14807,,hypothetical protein,1,1
group_14808,,hypothetical protein,1,1
dinG_3,,3'-5' exonuclease DinG,1,1
group_14811,,hypothetical protein,1,1
group_14812,,hypothetical protein,1,1
group_14813,,hypothetical protein,1,1
group_14814,,hypothetical protein,1,1
group_14815,,hypothetical protein,1,1
group_14816,,hypothetical protein,1,1
group_14817,,hypothetical protein,1,1
group_14818,,hypothetical protein,1,1
group_14819,,hypothetical protein,1,1
group_1482,dinG_3,3'-5' exonuclease DinG,1,1
group_14821,,hypothetical protein,1,1
group_14822,,hypothetical protein,1,1
group_14823,,hypothetical protein,1,1
group_14824,,hypothetical protein,1,1
group_14825,,hypothetical protein,1,1
group_14826,,hypothetical protein,1,1
group_14827,,hypothetical protein,1,1
group_14828,,hypothetical protein,1,1
group_14829,,hypothetical protein,1,1
group_14830,,hypothetical protein,1,1
group_14831,,hypothetical protein,1,1
group_1484,,hypothetical protein,1,1
group_14841,,hypothetical protein,1,1
group_14855,,hypothetical protein,1,1
group_14856,,hypothetical protein,1,1
group_14858,tfaE_2,Prophage tail fiber assembly protein TfaE,1,1
group_14859,tfaE_2,Prophage tail fiber assembly protein TfaE,1,1
group_14878,,hypothetical protein,1,1
group_14891,,hypothetical protein,1,1
group_14893,speE_2,Polyamine aminopropyltransferase,1,1
group_14901,anmK,Anhydro-N-acetylmuramic acid kinase,1,1
group_14902,,hypothetical protein,1,1
group_14903,,hypothetical protein,1,1
group_14904,,hypothetical protein,1,1
group_14905,tfaE_2,Prophage tail fiber assembly protein TfaE,1,1
tfaE_3,,Prophage tail fiber assembly protein TfaE,1,1
group_14907,,hypothetical protein,1,1
group_14908,,hypothetical protein,1,1
group_14909,,hypothetical protein,1,1
group_14910,,hypothetical protein,1,1
flmC_1,,Protein FlmC,1,1
group_14912,noc_1,Nucleoid occlusion protein,1,1
group_14916,,hypothetical protein,1,1
group_14917,,hypothetical protein,1,1
group_14918,,hypothetical protein,1,1
group_14919,,hypothetical protein,1,1
group_1492,,hypothetical protein,1,1
group_14920,,hypothetical protein,1,1
group_14921,,hypothetical protein,1,1
hdfR_4,,HTH-type transcriptional regulator HdfR,1,1
bcr_3,,Bicyclomycin resistance protein,1,1
group_14924,,hypothetical protein,1,1
group_14925,yokD,SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD,1,1
group_14926,,hypothetical protein,1,1
rhaB_2,,Rhamnulokinase,1,1
group_14928,,hypothetical protein,1,1
group_14929,,hypothetical protein,1,1
group_14930,,hypothetical protein,1,1
group_14931,,hypothetical protein,1,1
group_14932,,hypothetical protein,1,1
group_14933,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,1,1
group_14934,,hypothetical protein,1,1
group_14935,,hypothetical protein,1,1
group_14936,,hypothetical protein,1,1
group_14937,,hypothetical protein,1,1
group_14938,,hypothetical protein,1,1
def_2,,Peptide deformylase,1,1
group_14940,,hypothetical protein,1,1
group_14941,,hypothetical protein,1,1
group_14942,,hypothetical protein,1,1
group_14943,,hypothetical protein,1,1
group_14944,,hypothetical protein,1,1
group_14945,,hypothetical protein,1,1
ail,,Attachment invasion locus protein,1,1
group_14948,,hypothetical protein,1,1
group_14949,,hypothetical protein,1,1
group_1495,,hypothetical protein,1,1
group_14950,,hypothetical protein,1,1
group_14951,,hypothetical protein,1,1
group_14952,,hypothetical protein,1,1
group_14953,,hypothetical protein,1,1
group_14954,,hypothetical protein,1,1
group_14955,,hypothetical protein,1,1
group_14956,,hypothetical protein,1,1
group_14957,,hypothetical protein,1,1
group_14958,,hypothetical protein,1,1
group_14959,,hypothetical protein,1,1
group_14960,,hypothetical protein,1,1
group_14961,,hypothetical protein,1,1
group_14962,,hypothetical protein,1,1
group_14963,,hypothetical protein,1,1
group_14964,,hypothetical protein,1,1
group_14965,,hypothetical protein,1,1
group_14967,,hypothetical protein,1,1
group_14968,,hypothetical protein,1,1
group_14969,,hypothetical protein,1,1
group_1497,,hypothetical protein,1,1
group_14970,,hypothetical protein,1,1
group_14971,,hypothetical protein,1,1
group_14972,,hypothetical protein,1,1
group_14973,,hypothetical protein,1,1
group_14974,,hypothetical protein,1,1
group_14976,,hypothetical protein,1,1
group_14977,,hypothetical protein,1,1
group_14978,,hypothetical protein,1,1
group_14979,,hypothetical protein,1,1
group_1498,,hypothetical protein,1,1
group_14980,,hypothetical protein,1,1
group_14981,,hypothetical protein,1,1
group_14982,rcbA,Double-strand break reduction protein,1,1
group_14983,,hypothetical protein,1,1
group_14984,,hypothetical protein,1,1
group_14985,papE_1,Fimbrial protein PapE,1,1
group_14986,papG_1,Fimbrial adhesin PapG,1,1
group_14987,msbA_3,Lipid A export ATP-binding/permease protein MsbA,1,1
group_14988,,hypothetical protein,1,1
group_14989,,hypothetical protein,1,1
group_14990,,hypothetical protein,1,1
group_14991,rep_2,ATP-dependent DNA helicase Rep,1,1
group_14992,,hypothetical protein,1,1
group_14993,,hypothetical protein,1,1
group_14994,,hypothetical protein,1,1
group_14995,,hypothetical protein,1,1
group_14996,ybdM_2,putative protein YbdM,1,1
group_14997,,hypothetical protein,1,1
group_14998,,hypothetical protein,1,1
group_14999,dbpA_2,ATP-dependent RNA helicase DbpA,1,1
group_150,,hypothetical protein,1,1
group_15000,,hypothetical protein,1,1
group_15001,,hypothetical protein,1,1
group_15002,,hypothetical protein,1,1
group_15003,,hypothetical protein,1,1
group_15004,,hypothetical protein,1,1
hcpA_5,,Major exported protein,1,1
group_15006,,hypothetical protein,1,1
group_15007,,hypothetical protein,1,1
group_15008,,hypothetical protein,1,1
group_15009,,hypothetical protein,1,1
group_15010,,hypothetical protein,1,1
group_15011,,hypothetical protein,1,1
group_15012,,hypothetical protein,1,1
group_15013,traC_2,DNA primase TraC,1,1
group_15014,,hypothetical protein,1,1
group_15015,,hypothetical protein,1,1
group_15016,,hypothetical protein,1,1
group_15017,,hypothetical protein,1,1
group_15018,,hypothetical protein,1,1
group_15019,,hypothetical protein,1,1
group_15020,,hypothetical protein,1,1
group_15021,,hypothetical protein,1,1
group_15022,,hypothetical protein,1,1
group_15023,,hypothetical protein,1,1
group_15024,yadA,Adhesin YadA,1,1
group_15025,,hypothetical protein,1,1
group_15026,,hypothetical protein,1,1
group_15027,,hypothetical protein,1,1
group_15028,,hypothetical protein,1,1
group_15029,,hypothetical protein,1,1
group_15030,,hypothetical protein,1,1
group_15031,,hypothetical protein,1,1
group_15032,sauU,putative sulfoacetate transporter SauU,1,1
group_15033,garD_2,Galactarate dehydratase (L-threo-forming),1,1
yagE,,Putative 2-dehydro-3-deoxy-D-gluconate aldolase YagE,1,1
rhmR_2,,putative HTH-type transcriptional regulator RhmR,1,1
group_15036,,hypothetical protein,1,1
group_15037,,hypothetical protein,1,1
group_15038,,hypothetical protein,1,1
group_15039,,hypothetical protein,1,1
group_15040,,hypothetical protein,1,1
group_15041,,hypothetical protein,1,1
group_15042,,hypothetical protein,1,1
group_15043,,hypothetical protein,1,1
group_15044,,hypothetical protein,1,1
group_15045,,hypothetical protein,1,1
group_15046,fhuF,Ferric iron reductase protein FhuF,1,1
group_15047,lgoR,putative HTH-type transcriptional regulator LgoR,1,1
lgoT_1,,putative L-galactonate transporter,1,1
farR,,HTH-type transcriptional regulator FarR,1,1
hpcE,,Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase,1,1
betB_2,,NAD/NADP-dependent betaine aldehyde dehydrogenase,1,1
hpcB,,"3,4-dihydroxyphenylacetate 2,3-dioxygenase",1,1
hpcD,,5-carboxymethyl-2-hydroxymuconate Delta-isomerase,1,1
hpcG,,"2-oxo-hept-4-ene-1,7-dioate hydratase",1,1
hpcH,,"4-hydroxy-2-oxo-heptane-1,7-dioate aldolase",1,1
ttuB,,Putative tartrate transporter,1,1
group_15057,rhaR_2,HTH-type transcriptional activator RhaR,1,1
hpaB,,4-hydroxyphenylacetate 3-monooxygenase oxygenase component,1,1
hpaC,,4-hydroxyphenylacetate 3-monooxygenase reductase component,1,1
group_15062,,hypothetical protein,1,1
group_15064,,hypothetical protein,1,1
mdtM,,Multidrug resistance protein MdtM,1,1
group_15066,,hypothetical protein,1,1
group_15067,,hypothetical protein,1,1
group_15068,yjiE_2,HTH-type transcriptional regulator YjiE,1,1
group_15069,iraD,Anti-adapter protein IraD,1,1
group_15070,,hypothetical protein,1,1
lldR_3,,Putative L-lactate dehydrogenase operon regulatory protein,1,1
group_15072,fimH_2,Type 1 fimbrin D-mannose specific adhesin,1,1
group_15073,fimF_2,Protein FimF,1,1
group_15074,lpfA_1,putative major fimbrial subunit LpfA,1,1
group_15092,,hypothetical protein,1,1
group_15093,,hypothetical protein,1,1
group_15094,,hypothetical protein,1,1
group_15095,,hypothetical protein,1,1
group_15096,,hypothetical protein,1,1
group_15097,,hypothetical protein,1,1
group_15098,papG,Fimbrial adhesin PapG,1,1
group_15099,papF,Fimbrial adapter PapF,1,1
group_151,,hypothetical protein,1,1
group_15100,,hypothetical protein,1,1
group_15101,,hypothetical protein,1,1
group_15102,,hypothetical protein,1,1
group_15103,,hypothetical protein,1,1
group_15104,nohA_2,Prophage DNA-packing protein NohA,1,1
group_15105,,hypothetical protein,1,1
group_15106,repA,Replication initiation protein,1,1
group_15107,,hypothetical protein,1,1
group_15108,,hypothetical protein,1,1
group_15109,traQ,Protein TraQ,1,1
group_15110,,hypothetical protein,1,1
group_15111,flmC,Protein FlmC,1,1
group_15112,,hypothetical protein,1,1
group_15113,,hypothetical protein,1,1
glmU_3,,Bifunctional protein GlmU,1,1
group_15115,,hypothetical protein,1,1
group_15116,,hypothetical protein,1,1
yqjE_2,,Inner membrane protein YqjE,1,1
group_15118,,hypothetical protein,1,1
group_15119,,hypothetical protein,1,1
group_15120,,hypothetical protein,1,1
group_15121,,hypothetical protein,1,1
group_15122,,hypothetical protein,1,1
group_15123,,hypothetical protein,1,1
group_15124,,hypothetical protein,1,1
group_15125,papA_2,Pap fimbrial major pilin protein,1,1
group_15126,,hypothetical protein,1,1
group_15127,,hypothetical protein,1,1
group_15128,,putative protein,1,1
group_15129,,hypothetical protein,1,1
group_15130,,hypothetical protein,1,1
group_15131,,hypothetical protein,1,1
group_15132,,hypothetical protein,1,1
group_15133,,hypothetical protein,1,1
group_15134,,hypothetical protein,1,1
group_15135,,IS3 family transposase ISEal1,1,1
group_15136,,hypothetical protein,1,1
group_15137,,hypothetical protein,1,1
cia_3,,Colicin-Ia,1,1
group_15139,,hypothetical protein,1,1
lolC_2,,Lipoprotein-releasing system transmembrane protein LolC,1,1
group_15141,pgrR_3,HTH-type transcriptional regulator PgrR,1,1
isfD,,Sulfoacetaldehyde reductase,1,1
group_15143,ycjY_2,putative protein YcjY,1,1
group_15144,,hypothetical protein,1,1
group_15145,,hypothetical protein,1,1
group_15146,kpsT,Polysialic acid transport ATP-binding protein KpsT,1,1
group_15147,,hypothetical protein,1,1
group_15148,,hypothetical protein,1,1
wecC_2,,UDP-N-acetyl-D-mannosamine dehydrogenase,1,1
wecB_2,,UDP-N-acetylglucosamine 2-epimerase,1,1
group_15151,,hypothetical protein,1,1
group_15152,,hypothetical protein,1,1
group_15153,,hypothetical protein,1,1
group_15154,,hypothetical protein,1,1
